material_id,formula_pretty,energy_above_hull,formation_energy_per_atom,is_stable,density,volume,nsites,band_gap,is_metal,theoretical,working_ion,framework_formula,n_possible_working_ions,pred_average_voltage,pred_max_delta_volume,volume_prediction_valid,pareto
mp-1045638,Ba2CaCuBi2F14,0.041795412000007026,-3.249714814750001,False,5.379693973290539,655.7443285796525,40,1.0145,False,True,Ca,Ba2CuBi2F14,1,4.951418,0.08598875254392624,True,False
mp-1228555,Ba2CaEr3(NiO5)2,0.00981757213889356,-2.9845329861111107,False,7.409982706598344,245.1350862635076,18,0.2859999999999996,False,True,Ca,Ba2Er3(NiO5)2,1,0.9765963,0.08598875254392624,True,False
mp-1214725,Ba2CaFe2CoF14,0.006697427000005085,-3.31837807025,False,4.377526947734902,570.0102131392135,40,2.4169,False,True,Ca,Ba2Fe2CoF14,1,5.093516,0.08598875254392624,True,False
mp-1214730,Ba2CaGa2CuF14,0.0,-3.3781478925000004,True,4.820069528465935,539.9786006744368,40,1.7659000000000002,False,True,Ca,Ba2Ga2CuF14,1,4.0671234,0.08598875254392624,True,False
mp-753731,Ba2CaI6,0.039892943333333264,-1.9587139516666663,False,3.737768833648958,956.1874179513138,18,3.6354,False,True,Ca,BaI3,1,2.2091475,0.8915552496910095,True,False
mp-756725,Ba2CaI6,0.0070092049999956885,-1.991597690000004,False,4.5098241701890185,792.4937636306772,18,3.5732,False,True,Ca,BaI3,1,2.2091475,1.0500974655151367,True,False
mp-766288,Ba2CaI6,0.03540212972222179,-1.963204765277778,False,4.554346627389343,1569.4929799378906,36,3.4939000000000004,False,True,Ca,BaI3,1,2.2091475,1.0910577774047852,True,False
mp-766301,Ba2CaI6,0.044640244999999634,-1.9539666500000001,False,4.158591192443682,1718.8549508976973,36,3.4988,False,True,Ca,BaI3,1,2.2091475,0.9909474849700928,True,False
mp-766317,Ba2CaI6,0.04084301777777766,-1.9577638772222221,False,3.845193560331486,1858.9480471498464,36,3.8265000000000002,False,True,Ca,BaI3,1,2.2091475,0.9300321340560913,True,False
mp-766340,Ba2CaI6,0.03712179833333318,-1.9614850966666664,False,3.8564077474928906,1853.5423450848564,36,3.8212,False,True,Ca,BaI3,1,2.2091475,0.8911577463150024,True,False
mp-766343,Ba2CaI6,0.03768349694444417,-1.9609233980555554,False,4.073232647990468,1754.8752250667192,36,3.6188,False,True,Ca,BaI3,1,2.2091475,0.9896515607833862,True,False
mp-766351,Ba2CaI6,0.047688555555555734,-1.950918339444444,False,4.1973914370437635,1702.9660366691348,36,3.551,False,True,Ca,BaI3,1,2.2091475,0.9784343838691711,True,False
mp-859128,Ba2CaI6,0.028392382037036423,-1.9702145129629631,False,3.842936855921141,1395.0297639312932,27,3.9865,False,True,Ca,BaI3,1,2.2091475,0.8920750617980957,True,False
mp-20841,Ba2CaIrO6,0.0,-2.5373599260000006,True,6.598059782687144,151.74375893845558,10,0.0,True,False,Ca,Ba2IrO6,1,2.3473415,0.08598875254392624,True,False
mp-540862,Ba2CaMgAl2F14,0.0,-4.0412615685,True,4.054001415807381,539.841080795959,40,7.1835,False,False,Mg,Ba2CaAl2F14,2,2.9774773,0.08598875254392624,True,False
mp-540862,Ba2CaMgAl2F14,0.0,-4.0412615685,True,4.054001415807381,539.841080795959,40,7.1835,False,False,Ca,Ba2MgAl2F14,2,4.0759816,0.08598875254392624,True,False
mp-1214779,Ba2CaMnFe2F14,0.007280976875015277,-3.4115868268965515,False,4.247411489997592,584.3481068466097,40,2.1519000000000004,False,True,Ca,Ba2MnFe2F14,1,4.869843,0.08598875254392624,True,False
mp-1214724,Ba2CaMnV2F14,0.0,-3.638397751146551,True,4.406805861822848,555.8214104915562,40,1.2483005201713284,False,True,Ca,Ba2MnV2F14,1,3.341597,0.08598875254392624,True,False
mp-1214858,Ba2CaMoN4,0.0,-1.1002963640625012,True,4.919026696093286,1260.3657409439427,64,2.4126999999999996,False,True,Ca,Ba2MoN4,1,0.69623077,0.08598875254392624,True,False
